coach_id,first_name,last_name,country,birth,status,last_epl_team_id,matches,wins,draws,losses
30,George,Graham,Scotland,30/11/1944,retired,21,287,102,91,94
63,Ron,Atkinson,England,18/03/1939,retired,15,204,67,58,79
90,Kenny,Dalglish,Scotland,04/03/1951,retired,10,238,115,60,63
144,Bobby,Gould,Wales,12/01/1946,retired,5,54,16,19,19
170,Steve,Coppell,England,09/07/1955,retired,40,146,42,37,67
198,Howard,Kendall,England,22/05/1946,retired,7,98,31,24,43
223,John,Lyall,England,24/02/1940,retired,8,102,24,34,44
249,Howard,Wilkinson,England,13/11/1943,retired,29,189,66,57,66
278,Graeme,Souness,Scotland,06/05/1953,retired,23,280,94,78,108
306,Peter,Reid,England,20/06/1956,retired,9,227,74,60,93
344,Alex,Ferguson,Scotland,31/12/1941,retired,12,810,528,168,114
370,Lennie,Lawrence,England,12/12/1947,retired,13,42,11,11,20
392,Mike,Walker,Wales,28/11/1945,retired,7,98,37,27,34
414,Brian,Clough,England,21/03/1935,retired,15,42,10,10,22
440,Joe,Royle,England,08/04/1949,retired,7,219,66,64,89
467,Gerry,Francis,England,06/12/1951,retired,21,217,79,64,74
492,Dave,Bassett,England,04/09/1944,retired,26,131,27,43,61
517,Trevor,Francis,England,19/04/1954,retired,19,126,44,42,40
543,Ian,Branfoot,England,26/01/1947,retired,20,66,18,14,34
581,Doug,Livermore,England,27/12/1947,retired,21,42,16,11,15
609,Joe,Kinnear,Ireland,27/12/1946,retired,23,302,97,92,113
676,Glenn,Hoddle,England,27/10/1957,retired,21,256,88,70,98
683,Phil,Neal,England,20/02/1951,retired,5,58,18,18,22
697,Roy,Evans,England,04/10/1948,retired,10,184,87,50,47
705,Brian,Horton,England,04/02/1949,retired,11,79,21,29,29
729,Kevin,Keegan,England,14/02/1951,retired,23,267,116,65,86
735,John,Deehan,England,06/08/1957,retired,2,54,12,20,22
761,Alan,Ball,England,12/05/1945,retired,11,98,28,33,37
774,John,Gorman,Scotland,16/08/1949,retired,24,42,5,15,22
781,Osvaldo,Ardiles,Argentina,03/08/1952,retired,21,54,16,14,24
806,Billy,Bonds,England,17/09/1946,retired,25,42,13,13,16
845,Stewart,Houston,Scotland,20/08/1949,retired,1,19,7,4,8
850,Brian,Little,England,25/11/1953,retired,2,144,53,39,52
874,Alan,Smith,England,28/12/1946,retired,6,42,11,12,19
885,George,Burley,Scotland,03/06/1956,retired,8,98,33,17,48
911,Mark,McGhee,Scotland,25/05/1957,retired,26,24,3,7,14
933,Gary,Megson,England,02/05/1959,retired,36,139,30,38,71
947,Frank,Clark,England,09/09/1942,retired,15,98,39,31,28
952,Ray,Wilkins,England,14/09/1956,retired,4,67,23,11,33
970,Harry,Redknapp,England,02/03/1947,retired,17,641,236,167,238
992,Bruce,Rioch,Scotland,06/09/1947,retired,1,38,17,12,9
1007,Ray,Harford,England,01/06/1945,retired,3,48,18,11,19
1026,Colin,Todd,England,12/12/1948,retired,28,70,19,16,35
