match_id,home_team_id,away_team_id,home_team_scores,away_team_scores,stadium_id,kickoff,season,main_referee_id,attendance
1,1,14,2,4,302,00:00.0,1992/93,16871,24030
2,4,16,1,1,8,00:00.0,1992/93,16900,20699
3,5,13,2,1,303,00:00.0,1992/93,16886,12681
4,6,3,3,3,32,00:00.0,1992/93,16882,17086
5,7,19,1,1,9,00:00.0,1992/93,16881,27687
6,8,2,1,1,66,00:00.0,1992/93,16872,16818
7,9,22,2,1,205,00:00.0,1992/93,16895,25795
8,18,12,2,1,206,00:00.0,1992/93,16891,28070
9,20,21,0,0,304,00:00.0,1992/93,16888,19654
10,15,10,1,0,59,00:00.0,1992/93,16889,20038
11,11,17,1,1,305,45:00.0,1992/93,16894,24471
12,3,1,1,0,5,45:00.0,1992/93,16883,16454
13,22,8,0,1,32,00:00.0,1992/93,16879,4954
14,2,9,1,1,7,45:00.0,1992/93,16875,29151
15,10,18,2,1,10,30:00.0,1992/93,16870,33107
16,12,7,0,3,3,00:00.0,1992/93,16898,31901
17,13,11,2,0,306,45:00.0,1992/93,16880,15369
18,14,4,2,1,14,45:00.0,1992/93,16895,15164
19,16,6,1,1,83,30:00.0,1992/93,16887,11063
20,17,20,3,1,23,45:00.0,1992/93,16911,10639
21,19,15,2,0,60,45:00.0,1992/93,16869,29623
22,21,5,0,2,6,45:00.0,1992/93,16908,24388
23,2,20,1,1,7,00:00.0,1992/93,16881,17894
24,3,11,1,0,5,00:00.0,1992/93,16879,19433
25,12,8,1,1,3,00:00.0,1992/93,16895,31704
26,13,9,4,1,306,00:00.0,1992/93,16877,18649
27,14,7,1,1,14,00:00.0,1992/93,16910,14150
28,16,15,5,3,83,00:00.0,1992/93,16885,11632
29,17,18,3,2,23,00:00.0,1992/93,16905,10932
30,19,4,3,3,60,00:00.0,1992/93,16876,26338
31,21,6,2,2,6,00:00.0,1992/93,16869,25237
32,22,5,1,2,32,00:00.0,1992/93,16900,2759
33,10,1,0,2,10,00:00.0,1992/93,16878,34961
34,20,12,0,1,304,30:00.0,1992/93,16902,15623
35,6,19,1,1,32,00:00.0,1992/93,16890,14005
36,7,2,1,0,9,30:00.0,1992/93,16894,22372
37,8,10,2,2,66,45:00.0,1992/93,16909,20109
38,9,21,5,0,205,30:00.0,1992/93,16889,28218
39,18,22,2,2,206,45:00.0,1992/93,16898,15463
40,1,16,2,0,302,45:00.0,1992/93,16882,20796
41,4,3,0,0,8,30:00.0,1992/93,16911,19575
42,5,17,0,1,303,45:00.0,1992/93,16911,13563
43,11,14,3,1,305,45:00.0,1992/93,16870,23182
44,1,19,2,1,302,00:00.0,1992/93,16893,23389
45,4,17,1,0,8,00:00.0,1992/93,16872,22910
46,5,3,0,2,303,00:00.0,1992/93,16884,14541
47,6,14,1,2,32,00:00.0,1992/93,16877,12033
48,7,22,0,0,9,00:00.0,1992/93,16886,18118
49,9,10,2,2,205,00:00.0,1992/93,16876,29597
50,11,16,3,3,305,00:00.0,1992/93,16908,27288
51,15,12,0,2,59,00:00.0,1992/93,16878,19694
52,18,2,0,2,206,00:00.0,1992/93,16882,18733
53,20,13,2,1,304,00:00.0,1992/93,16873,13003
54,8,21,1,1,66,00:00.0,1992/93,16875,20100
55,14,15,3,1,14,45:00.0,1992/93,16891,14104
56,10,20,1,1,10,30:00.0,1992/93,16879,30024
57,13,8,2,2,306,30:00.0,1992/93,16907,14255
58,16,9,2,2,83,30:00.0,1992/93,16898,13848
59,22,11,0,1,32,00:00.0,1992/93,16889,4714
60,2,4,1,3,7,45:00.0,1992/93,16905,19125
61,12,6,1,0,3,00:00.0,1992/93,16888,29736
62,17,1,0,0,23,45:00.0,1992/93,16885,20868
63,19,5,1,2,60,45:00.0,1992/93,16873,22874
64,21,18,2,0,6,45:00.0,1992/93,16904,21322
65,2,6,3,0,7,00:00.0,1992/93,16878,17120
66,3,15,4,1,5,00:00.0,1992/93,16907,16180
67,10,4,2,1,10,00:00.0,1992/93,16910,34199
68,13,18,2,0,306,00:00.0,1992/93,16872,15179
69,14,20,1,0,14,00:00.0,1992/93,16875,12452
70,16,5,0,1,83,00:00.0,1992/93,16877,11254
71,17,8,0,0,23,00:00.0,1992/93,16908,12806
72,19,11,0,3,60,00:00.0,1992/93,16911,27169
73,21,7,2,1,6,00:00.0,1992/93,16879,26503
74,22,1,3,2,32,00:00.0,1992/93,16897,12906
75,12,9,2,0,3,00:00.0,1992/93,16869,31296
