player_id,first_name,last_name,position,country,birth,appearances,clean_sheets,goals,assists,red_cards,yellow_cards
1,David,Seaman,Goalkeeper,England,19/09/1963,344,141,0,4,1,1
2,Alan,Miller,Goalkeeper,England,29/03/1970,25,4,0,0,0,1
3,Tony,Adams,Defender,England,10/10/1966,255,115,12,9,4,36
4,Colin,Pates,Defender,England,10/08/1961,7,1,0,0,0,0
5,Gavin,McGowan,Defender,England,16/01/1976,6,0,0,0,0,0
6,Pal,Lydersen,Defender,Norway,10/09/1965,8,1,0,0,0,0
7,Steve,Morrow,Defender,Northern Ireland,02/07/1970,60,14,1,1,0,2
8,David,O'Leary,Defender,Ireland,02/05/1958,21,5,0,0,0,1
9,Steve,Bould,Defender,England,16/11/1962,196,69,2,6,2,38
10,Scott,Marshall,Defender,Scotland,01/05/1973,26,9,1,0,0,6
11,Nigel,Winterburn,Defender,England,11/12/1963,352,119,5,19,1,51
12,Andy,Linighan,Defender,England,18/06/1962,117,39,5,4,0,8
13,Lee,Dixon,Defender,England,17/03/1964,305,114,9,19,1,30
14,Martin,Keown,Centre Central Defender,England,24/07/1966,323,108,4,7,6,49
15,Jimmy,Carter,Midfielder,England,09/11/1965,19,0,2,0,0,1
16,Mark,Flatts,Midfielder,England,14/10/1972,16,2,0,1,0,0
17,John,Jensen,Midfielder,Denmark,03/05/1965,98,30,1,5,0,12
18,David,Hillier,Midfielder,England,19/12/1969,61,17,1,6,0,2
19,Ray,Parlour,Midfielder,England,07/03/1973,379,107,20,20,3,62
20,Ian,Selley,Midfielder,England,14/06/1974,41,11,0,3,0,8
21,Paul,Davis,Midfielder,England,09/12/1961,32,14,1,1,0,3
22,Anders,Limpar,Midfielder,Sweden,24/09/1965,99,17,7,15,0,15
23,Paul,Merson,Centre Central Midfielder,England,20/03/1968,280,68,46,43,0,15
24,Paul,Shaw,Midfielder,England,04/09/1973,12,0,2,2,0,0
25,Kevin,Campbell,Forward,England,04/02/1970,325,73,83,37,0,16
26,Alan,Smith,Forward,England,21/11/1962,75,18,8,9,0,0
27,Paul,Dickov,Forward,Scotland,01/11/1972,155,19,36,12,2,38
28,Neil,Heaney,Forward,England,11/08/1972,67,10,5,2,0,8
29,Ian,Wright,Forward,England,03/11/1963,213,59,113,22,2,52
32,Mark,Bosnich,Goalkeeper,Australia,13/01/1972,206,74,0,1,1,8
33,Nigel,Spink,Goalkeeper,England,08/08/1958,55,16,0,1,1,0
34,Michael,Oakes,Goalkeeper,England,30/10/1973,72,19,0,0,1,0
35,Ugo,Ehiogu,Defender,England,03/11/1972,355,111,19,8,5,45
36,Dariusz,Kubicki,Defender,Poland,06/06/1963,31,8,0,0,0,3
37,Paul,McGrath,Defender,Ireland,04/12/1959,166,40,6,3,0,13
38,Earl,Barrett,Defender,England,28/04/1967,195,59,1,6,1,17
39,Shaun,Teale,Defender,England,10/03/1964,105,35,2,3,0,15
40,Neil,Cox,Defender,England,08/10/1971,143,25,6,6,1,20
41,Steve,Staunton,Defender,Ireland,19/01/1969,288,67,13,28,3,32
42,Bryan,Small,Defender,England,15/11/1971,29,5,0,1,0,0
43,Kevin,Richardson,Midfielder,England,04/12/1962,207,59,7,19,1,23
44,Mark,Blake,Midfielder,England,16/12/1970,31,2,3,1,0,8
45,Gareth,Farrelly,Midfielder,Ireland,28/08/1975,61,5,2,0,0,6
46,Stephen,Froggatt,Midfielder,England,09/03/1973,75,14,4,13,0,9
