referee_id,first_name,last_name,appearances,red_cards,yellow_cards
16869,Philip,Don,58,9,149
16870,David,Elleray,197,32,540
16871,Alan,Gunn,37,0,38
16872,Alf,Buksh,12,0,27
16873,Rodger,Gifford,43,3,59
16874,Keith,Cooper,73,7,177
16875,Keith,Hackett,36,0,40
16876,Roger,Dilkes,78,6,140
16877,David,Allison,33,2,28
16878,Ken,Redfern,13,2,19
16879,Robert,Hart,77,8,162
16880,Stephen,Lodge,175,26,520
16881,Kelvin,Morton,61,7,130
16882,Roger,Milford,35,0,48
16883,Joe,Worrall,58,0,41
16884,Ray,Lewis,9,1,30
16885,Ron,Groves,10,2,29
16886,Howard,King,12,0,7
16887,Mike,Peck,13,0,23
16888,Vic,Callow,33,4,50
16889,Mike,Reed,167,28,611
16890,John,Martin,12,2,25
16891,Brian,Hill,38,1,52
16892,Paul,Ward,8,1,17
16893,Paul,Durkin,246,26,611
16894,Martin,Bodenham,121,7,304
16895,Gerald,Ashby,111,14,277
16896,Philip,Wright,3,0,4
16897,Keith,Burge,124,10,286
16898,Keren,Barratt,31,2,57
16899,Alain,Hamer,1,0,0
16900,Jim,Borrett,23,1,53
16901,Mick,Fletcher,1,0,2
16902,Gary,Lewis,6,1,24
16903,John,Lloyd,13,2,8
16904,George,Pearson,1,1,2
16905,Peter,Foakes,20,5,35
16906,Clive,Wilkes,31,6,104
16907,Bob,Nixon,4,0,6
16908,Dermot,Gallagher,260,40,651
16909,Bob,Hamer,1,0,2
16910,John,Key,5,0,9
16911,Ray,Bigger,5,1,13
16912,Alan,Wilkie,145,21,410
16913,Kevin,Wright,1,0,2
16914,Peter,Willis,1,0,5
16915,Terry,Holbrook,33,1,43
16916,Graham,Poll,329,63,1056
16917,David,Frampton,10,0,24
16918,D,Crick,1,0,4
16919,Paul,Danson,60,12,213
16920,Gary,Willard,100,19,359
16921,Peter,Jones,150,18,495
16922,Mike,Jones,205,27,646
16923,Paul,Alcock,94,16,259
16924,Stephen,Dunn,198,20,610
16925,Jeff,Winter,178,22,524
16926,Graham,Barber,166,33,613
16927,Michael,Riley,283,67,1010
16928,Frank,Stretton,1,0,0
16929,Uriah,Rennie,175,30,543
16930,Neale,Barry,156,23,486
16931,Billy,Burns,1,0,2
16932,Brian,Winter,6,0,8
16933,Rob,Harris,50,12,191
16934,Andy,D'Urso,121,34,390
16935,Barry,Knight,76,20,239
16936,Alan,Wiley,274,32,826
16937,Stephen,Bennett,256,51,838
16938,Mark,Halsey,279,37,634
16939,Rob,Styles,211,55,690
16940,Paul,Taylor,12,1,35
16941,Mike,Dean,560,114,2046
16942,Matt,Messias,45,6,152
16943,Chris,Foy,261,37,701
16944,Eddie,Wolstenholme,19,4,67
16945,David,Pugh,15,1,48
16946,Phil,Dowd,308,67,1083
16947,Howard,Webb,298,33,975
16948,Peter,Walton,168,18,474
16949,Mark,Clattenburg,292,49,940
16950,Andre,Marriner,390,62,1210
16951,Martin,Atkinson,462,67,1491
16952,Richard,Beeby,3,0,5
16953,Phil,Crossley,2,0,7
16954,Lee,Mason,288,40,878
16955,Keith,Stroud,17,1,52
16956,Marco,Gabriele,1,0,3
16957,Matteo,Trefoloni,1,0,2
16958,Lee,Probert,181,31,447
16959,Steve,Tanner,26,4,81
16960,Stuart,Attwell,193,26,699
16961,Anthony,Taylor,357,54,1254
16962,Kevin,Friend,273,33,931
16963,Michael,Oliver,361,51,1143
16964,Jonathan,Moss,275,41,893
16965,Neil,Swarbrick,132,11,441
16966,Roger,East,91,11,287
16967,Craig,Pawson,237,35,856
16968,Robert,Madley,93,14,304
16971,John,Brooks,34,5,155
16986,Darren,England,48,4,182
16989,Graham,Scott,102,18,275
17000,Peter,Bankes,70,8,289
17006,David,Coote,97,13,365
17010,Darren,Bond,5,2,21
17012,Oliver,Langford,1,0,1
17018,Simon,Hooper,88,6,295
17019,Paul,Tierney,169,19,585
17026,Tim,Robinson,15,0,64
17029,Andy,Madley,81,9,270
17037,Michael,Salisbury,25,3,106
17041,Tony,Harrington,10,0,33
17407,Chris,Kavanagh,131,11,453
17470,Thomas,Bramall,12,1,47
17569,Robert,Jones,60,7,223
17570,Josh,Smith,4,2,14
21340,Sam,Allison,1,0,5
21346,Samuel,Barrott,8,1,28
21402,Rebecca,Welch,1,0,3
23530,Jarred,Gillett,34,4,119
