1,Britannia Stadium,Stoke,27740
2,DW Stadium,Wigan,25138
3,Old Trafford,Manchester,75635
4,St James' Park,Newcastle,NULL
5,Ewood Park,Blackburn,31367
6,White Hart Lane,London,36284
7,Villa Park,Birmingham,42682
8,Stamford Bridge,London,41798
9,Goodison Park,Liverpool,39571
10,Anfield,Liverpool,54074
11,Macron Stadium,Bolton,NULL
12,The Hawthorns,West Bromwich,26445
13,Molineux,Wolverhampton,NULL
14,Carrow Road,Norwich,27244
15,Loftus Road,London,18360
16,Craven Cottage,London,25700
17,Stadium of Light,Sunderland,48707
18,Etihad Stadium,Manchester,55000
19,Liberty Stadium,Swansea,21028
20,Emirates Stadium,London,60272
21,St. James' Park,Newcastle,52405
22,Boleyn Ground,London,35345
23,Loftus Road,London,18360
24,Madejski Stadium,Reading,24161
25,St. Mary's Stadium,Southampton,32505
26,Old Trafford,Manchester,75635
27,St. James' Park,Newcastle,52405
28,White Hart Lane,London,36284
29,Villa Park,Birmingham,42682
30,Stamford Bridge,London,41798
31,Goodison Park,Liverpool,39571
32,Selhurst Park,London,25073
33,The Hawthorns,West Bromwich,26445
34,Carrow Road,Norwich,27244
35,Stadium of Light,Sunderland,48707
36,St. Mary's Stadium,Southampton,32505
37,KCOM Stadium,Hull,NULL
38,Etihad Stadium,Manchester,55000
39,Liberty Stadium,Swansea,21028
40,Emirates Stadium,London,60272
41,Cardiff City Stadium,Cardiff,26896
42,Old Trafford,Manchester,75635
43,Villa Park,Birmingham,42682
44,Boleyn Ground,London,35345
45,Selhurst Park,London,25073
46,Loftus Road,London,18360
47,Turf Moor,Burnley,21401
48,St. Mary's Stadium,Southampton,32505
49,King Power Stadium,Leicester,32312
50,Etihad Stadium,Manchester,55000
51,Liberty Stadium,Swansea,21028
52,Emirates Stadium,London,60272
59,City Ground,Nottingham,NULL
60,Hillsborough,Sheffield,39859
61,Riverside Stadium,Middlesbrough,NULL
62,Macron Stadium,Bolton,NULL
63,The Valley,London,26875
64,Oakwell,Barnsley,23009
65,John Smith's Stadium,Huddersfield,24500
66,Portman Road,Ipswich,30300
67,St. Andrew's Stadium,Birmingham,NULL
69,County Ground,Swindon,15728
70,Fratton Park,Portsmouth,20224
83,Boundary Park,Oldham,13559
86,Liberty Stadium,Swansea,21028
95,Pride Park,Derby,NULL
136,Vicarage Road,Watford,22000
205,Elland Road,Leeds,40000
206,Bramall Lane,Sheffield,30370
208,Valley Parade,Bradford,24000
210,Bloomfield Road,Blackpool,16220
302,Highbury,London,NULL
303,Highfield Road,Coventry,NULL
304,The Dell,Southampton,NULL
305,Maine Road,Manchester,NULL
306,Ayresome Park,Middlesbrough,NULL
307,Filbert Street,Leicester,NULL
308,Burnden Park,Bolton,NULL
309,Baseball Ground,Derby,NULL
310,Roker Park,Sunderland,NULL
311,The Friends Provident St Mary's Stadium,Southampton,NULL
312,Sports Direct Arena,Newcastle,NULL
313,St Andrews,Birmingham,NULL
314,Riverside Stadium,Middlesbrough,NULL
315,Molineux Stadium,Wolverhampton,31500
354,Goldsands Stadium,Bournemouth,NULL
433,London Stadium,London,NULL
435,bet365 Stadium,Stoke,NULL
457,Etihad Stadium,Manchester,55000
845,Wembley Stadium,London,90000
901,Anfield,Liverpool,54074
913,Molineux Stadium,Wolverhampton,31500
914,Vitality Stadium,Bournemouth,11464
929,Pride Park Stadium,Derby,NULL
1684,Amex Stadium,Falmer,30750
1734,Tottenham Hotspur Stadium,London,62850
1739,St. Andrew's Trillion Trophy Stadium,Birmingham,NULL
1799,Toughsheet Community Stadium,Bolton,NULL
1986,Villa Park,Birmingham,42682
1995,The Hawthorns,West Bromwich,26445
2000,Carrow Road,Norwich,27244
2003,Bramall Lane,Sheffield,30370
2025,Kenilworth Road,Luton,9975
2175,Kiyan Prince Foundation Stadium,London,NULL
2548,The City Ground,Nottingham,30602
3490,MKM Stadium,Hull,NULL
3921,Tottenham Hotspur Stadium,London,62850
3977,Gtech Community Stadium,Brentford,17250
4003,Gtech Community Stadium,Brentford,17250
