team_id,team_name,founded_year,city,wins,draws,losses,total_red_cards,total_yellow_cards
1,Arsenal,1886,London,657,294,257,104,1818
2,Aston Villa,1874,Birmingham,384,307,405,66,1703
3,Blackburn Rovers,1875,Blackburn,262,184,250,77,1111
4,Chelsea,1905,London,636,299,274,88,1936
5,Coventry City,1883,Coventry,99,112,143,24,481
6,Crystal Palace,1905,London,160,147,252,30,907
7,Everton,1878,Liverpool,434,334,441,107,1897
8,Ipswich Town,1878,Gillingham,57,53,92,6,183
9,Leeds United,1919,Leicester,223,151,208,35,1036
10,Liverpool,1892,Liverpool,640,299,271,65,1519
11,Manchester City,1887,Budapest,512,219,287,77,1486
12,Manchester United,1878,Manchester,736,265,209,72,1806
13,Middlesbrough,1875,Middlesbrough,165,169,240,45,973
14,Norwich City,1902,Norwich,99,105,188,19,517
15,Nottingham Forest,1865,Nottingham,73,74,107,13,413
16,Oldham Athletic,1895,Oldham,22,23,39,4,70
17,Queens Park Rangers,1885,London,81,65,132,26,364
18,Sheffield United,1889,Sheffield,55,53,109,17,364
19,Sheffield Wednesday,1867,Sheffield,101,89,126,19,341
20,Southampton,1885,Southampton,280,248,396,64,1371
21,Tottenham Hotspur,1882,London,531,290,387,77,1827
22,Wimbledon,NULL,London,99,94,123,26,407
23,Newcastle United,1892,Newcastle,410,280,401,92,1642
24,Swindon Town,1881,Swindon,5,15,22,1,39
25,West Ham United,1895,London,355,263,434,81,1698
26,Leicester City,1884,Seagrave,218,167,265,53,944
27,Bolton Wanderers,1880,Bolton,149,128,217,44,845
28,Derby County,1884,Derby,68,70,128,17,538
29,Sunderland,1879,Sunderland,153,159,296,62,1095
30,Barnsley,1887,Northampton,10,5,23,4,66
31,Charlton Athletic,1905,London,93,82,129,24,408
32,Bradford City,1903,Bradford,14,20,42,2,113
33,Watford,1881,Watford,73,67,165,28,545
34,Fulham,1879,London,183,164,280,45,964
35,Birmingham City,1875,Birmingham,73,82,111,27,428
36,West Bromwich Albion,1878,West Bromwich,117,139,238,35,769
37,Portsmouth,1898,Portsmouth,79,65,122,20,399
38,Wolverhampton Wanderers,1877,Wolverhampton,108,90,163,28,630
39,Wigan Athletic,1932,Wigan,85,76,143,27,512
40,Reading,1871,Reading,32,23,59,9,142
41,Hull City,1904,Hull,41,48,101,24,328
42,Stoke City,1863,Stoke,116,109,155,31,679
43,Burnley,1882,Burnley,86,78,159,13,546
44,Blackpool,1887,Blackpool,10,9,19,2,47
45,Swansea City,1912,Swansea,82,66,118,14,368
46,Cardiff City,1899,Cardiff,17,13,46,2,115
127,Bournemouth,1899,Bournemouth,74,52,119,10,396
130,Brentford,1889,Brentford,33,25,36,5,157
131,Brighton and Hove Albion,1901,Falmer,73,79,94,18,397
159,Huddersfield Town,1908,Huddersfield,12,17,47,7,117
163,Luton Town,1885,Luton,4,3,11,0,35
